,code,name
16,sz000021,深科技
46,sz000063,中兴通讯
48,sz000066,中国长城
58,sz000100,TCL科技
68,sz000301,东方盛虹
89,sz000423,东阿阿胶
106,sz000513,丽珠集团
153,sz000568,泸州老窖
204,sz000636,风华高科
215,sz000661,长春高新
253,sz000710,贝瑞基因
266,sz000725,京东方Ａ
313,sz000799,酒鬼酒
337,sz000830,鲁西化工
352,sz000860,顺鑫农业
410,sz000938,紫光股份
436,sz000977,浪潮信息
450,sz000997,新 大 陆
456,sz001914,招商积余
466,sz002008,大族激光
481,sz002024,苏宁易购
484,sz002027,分众传媒
498,sz002041,登海种业
506,sz002049,紫光国微
513,sz002056,横店东磁
522,sz002065,东华软件
530,sz002074,国轩高科
684,sz002230,科大讯飞
695,sz002241,歌尔股份
863,sz002410,广联达
928,sz002475,立讯精密
989,sz002539,云图控股
1519,sz300059,东方财富
1865,sz300413,芒果超媒
2436,sh600079,人福医药
2458,sh600104,上汽集团
2463,sh600109,国金证券
2605,sh600276,恒瑞医药
2736,sh600446,金证股份
2744,sh600460,士兰微
2806,sh600536,中国软件
2847,sh600584,长电科技
2851,sh600588,用友网络
3076,sh600845,宝信软件
3390,sh603005,晶方科技
3530,sh603236,移远通信
3535,sh603259,药明康德
3548,sh603290,斯达半导
3631,sh603501,韦尔股份
4020,sh688088,虹软科技
