,stock_code,start_date,end_date
0,sh603501,20200901,20210208
1,sh688012,20200901,20210208
2,sh603068,20200901,20210208
3,sh688008,20200901,20210208
4,sz002812,20200901,20210208
5,sh603179,20200901,20210208
6,sh600399,20200901,20210208
7,sz002460,20200901,20210208
8,sz300450,20200901,20210208
9,sz300427,20200901,20210208
10,sz002850,20200901,20210208
11,sh600406,20200901,20210208
12,sh600699,20200901,20210208
13,sz000550,20200901,20210208
14,sh603179,20200901,20210208
15,sh603186,20200901,20210208
16,sz002460,20200901,20210208
17,sz300083,20200901,20210208
18,sz002709,20200901,20210208
19,sh600699,20200901,20210208
20,sh601799,20200901,20210208
21,sz000550,20200901,20210208
22,sz300618,20200901,20210208
23,sz002850,20200901,20210208
24,sz300677,20200901,20210208
25,sz002030,20200901,20210208
26,sh600216,20200901,20210208
27,sh600436,20200901,20210208
28,sz002332,20200901,20210208
29,sh603939,20200901,20210208
30,sz300595,20200901,20210208
31,sz300601,20200901,20210208
32,sz300326,20200901,20210208
33,sz000538,20200901,20210208
34,sh601865,20200901,20210208
35,sz000338,20200901,20210208
36,sz000100,20200901,20210208
37,sz300760,20200901,20210208
38,sh600276,20200901,20210208
39,sh600660,20200901,20210208
40,sz002508,20200901,20210208
41,sz000661,20200901,20210208
42,sh600031,20200901,20210208
43,sh600048,20200901,20210208
0,sz002049,20210208,20210310
1,sz000661,20210208,20210310
2,sz002241,20210208,20210310
3,sz000063,20210208,20210310
4,sh600845,20210208,20210310
5,sz002074,20210208,20210310
6,sz000725,20210208,20210310
7,sz000977,20210208,20210310
8,sh600588,20210208,20210310
9,sz002027,20210208,20210310
10,sz000710,20210208,20210310
11,sz300059,20210208,20210310
12,sh600584,20210208,20210310
13,sh688088,20210208,20210310
14,sh603236,20210208,20210310
15,sh600104,20210208,20210310
16,sh600460,20210208,20210310
17,sh603259,20210208,20210310
18,sz002230,20210208,20210310
19,sz000830,20210208,20210310
20,sz002024,20210208,20210310
21,sz000799,20210208,20210310
22,sh600109,20210208,20210310
23,sz000938,20210208,20210310
24,sz002410,20210208,20210310
25,sh600536,20210208,20210310
26,sz000066,20210208,20210310
27,sh603290,20210208,20210310
28,sz000513,20210208,20210310
29,sh600276,20210208,20210310
30,sz002065,20210208,20210310
31,sz000021,20210208,20210310
32,sh600079,20210208,20210310
33,sz000301,20210208,20210310
34,sh603501,20210208,20210310
35,sz000860,20210208,20210310
36,sz000568,20210208,20210310
37,sz000636,20210208,20210310
38,sz000423,20210208,20210310
39,sz002475,20210208,20210310
40,sz002008,20210208,20210310
41,sz000100,20210208,20210310
42,sz002056,20210208,20210310
43,sz300413,20210208,20210310
44,sh600446,20210208,20210310
45,sh603005,20210208,20210310
46,sz000997,20210208,20210310
47,sz001914,20210208,20210310
48,sz002539,20210208,20210310
49,sz002041,20210208,20210310
