,total_factor,name
sz002049,0.49739402809480465,紫光国微
sz000661,0.46973994988473305,长春高新
sz002241,0.46953953700393686,歌尔股份
sz000063,0.4659469660749156,中兴通讯
sh600845,0.463930462679131,宝信软件
sz002074,0.4626816484306363,国轩高科
sz000725,0.4613186799789488,京东方Ａ
sz000977,0.4525952817199411,浪潮信息
sh600588,0.45095549172643334,用友网络
sz002027,0.44925681819788155,分众传媒
sz000710,0.4461368376241622,贝瑞基因
sz300059,0.445269428869381,东方财富
sh600584,0.4433296015510216,长电科技
sh688088,0.4416923199877085,虹软科技
sh603236,0.44129147006665415,移远通信
sh600104,0.4394707234240733,上汽集团
sh600460,0.43625648495570857,士兰微
sh603259,0.42950679629785804,药明康德
sz002230,0.42940447964538375,科大讯飞
sz000830,0.42778076495970085,鲁西化工
sz002024,0.4273098711588291,苏宁易购
sz000799,0.42624904328284946,酒鬼酒
sh600109,0.4241349877969781,国金证券
sz000938,0.42094337325658665,紫光股份
sz002410,0.41712048979796884,广联达
sh600536,0.41651363384606094,中国软件
sz000066,0.4155262599741134,中国长城
sh603290,0.41467851932853245,斯达半导
sz000513,0.4134381715880479,丽珠集团
sh600276,0.41330665991718135,恒瑞医药
sz002065,0.4131527319606488,东华软件
sz000021,0.4112961059784405,深科技
sh600079,0.40960490262417865,人福医药
sz000301,0.40775121610688025,东方盛虹
sh603501,0.40458858133781783,韦尔股份
sz000860,0.4033859414242906,顺鑫农业
sz000568,0.4024708280111109,泸州老窖
sz000636,0.4024244217990507,风华高科
sz000423,0.40183097376851573,东阿阿胶
sz002475,0.4017496420618929,立讯精密
sz002008,0.400416159209665,大族激光
sz000100,0.39827284710764504,TCL科技
sz002056,0.39766347368994726,横店东磁
sz300413,0.39757879372091154,芒果超媒
sh600446,0.3966772674586432,金证股份
sh603005,0.395596826348937,晶方科技
sz000997,0.39543732753153404,新 大 陆
sz001914,0.3951037155195883,招商积余
sz002539,0.3947850790126697,云图控股
sz002041,0.39364138710705526,登海种业
